cantNod,Res,Tipo
296,21904,resCompleto
297,22052,resCompleto
298,22201,resCompleto
299,22350,resCompleto
300,22500,resCompleto
301,22650,resCompleto
302,22801,resCompleto
303,22952,resCompleto
304,23104,resCompleto
305,23256,resCompleto
306,23409,resCompleto
307,23562,resCompleto
308,23716,resCompleto
309,23870,resCompleto
310,24025,resCompleto
311,24180,resCompleto
312,24336,resCompleto
313,24492,resCompleto
314,24649,resCompleto
315,24806,resCompleto
316,24964,resCompleto
317,25122,resCompleto
318,25281,resCompleto
319,25440,resCompleto
320,25600,resCompleto
321,25760,resCompleto
322,25921,resCompleto
323,26082,resCompleto
324,26244,resCompleto
325,26406,resCompleto
326,26569,resCompleto
327,26732,resCompleto
328,26896,resCompleto
329,27060,resCompleto
330,27225,resCompleto
331,27390,resCompleto
332,27556,resCompleto
333,27722,resCompleto
334,27889,resCompleto
335,28056,resCompleto
336,28224,resCompleto
337,28392,resCompleto
338,28561,resCompleto
339,28730,resCompleto
340,28900,resCompleto
341,29070,resCompleto
342,29241,resCompleto
343,29412,resCompleto
344,29584,resCompleto
345,29756,resCompleto
346,29929,resCompleto
347,30102,resCompleto
348,30276,resCompleto
349,30450,resCompleto
350,30625,resCompleto
351,30800,resCompleto
352,30976,resCompleto
353,31152,resCompleto
354,31329,resCompleto
355,31506,resCompleto
356,31684,resCompleto
357,31862,resCompleto
358,32041,resCompleto
359,32220,resCompleto
360,32400,resCompleto
361,32580,resCompleto
362,32761,resCompleto
363,32942,resCompleto
364,33124,resCompleto
365,33306,resCompleto
366,33489,resCompleto
367,33672,resCompleto
368,33856,resCompleto
369,34040,resCompleto
370,34225,resCompleto
371,34410,resCompleto
372,34596,resCompleto
373,34782,resCompleto
374,34969,resCompleto
375,35156,resCompleto
376,35344,resCompleto
377,35532,resCompleto
378,35721,resCompleto
379,35910,resCompleto
380,36100,resCompleto
381,36290,resCompleto
382,36481,resCompleto
383,36672,resCompleto
384,36864,resCompleto
385,37056,resCompleto
386,37249,resCompleto
387,37442,resCompleto
388,37636,resCompleto
389,37830,resCompleto
390,38025,resCompleto
391,38220,resCompleto
392,38416,resCompleto
393,38612,resCompleto
394,38809,resCompleto
395,39006,resCompleto
396,39204,resCompleto
397,39402,resCompleto
398,39601,resCompleto
399,39800,resCompleto
400,40000,resCompleto
401,40200,resCompleto
402,40401,resCompleto
403,40602,resCompleto
404,40804,resCompleto
405,41006,resCompleto
406,41209,resCompleto
407,41412,resCompleto
408,41616,resCompleto
409,41820,resCompleto
410,42025,resCompleto
411,42230,resCompleto
412,42436,resCompleto
413,42642,resCompleto
414,42849,resCompleto
415,43056,resCompleto
416,43264,resCompleto
417,43472,resCompleto
418,43681,resCompleto
419,43890,resCompleto
420,44100,resCompleto
421,44310,resCompleto
422,44521,resCompleto
423,44732,resCompleto
424,44944,resCompleto
425,45156,resCompleto
426,45369,resCompleto
427,45582,resCompleto
428,45796,resCompleto
429,46010,resCompleto
430,46225,resCompleto
431,46440,resCompleto
432,46656,resCompleto
433,46872,resCompleto
434,47089,resCompleto
435,47306,resCompleto
436,47524,resCompleto
437,47742,resCompleto
438,47961,resCompleto
439,48180,resCompleto
440,48400,resCompleto
441,48620,resCompleto
442,48841,resCompleto
443,49062,resCompleto
444,49284,resCompleto
445,49506,resCompleto
446,49729,resCompleto
447,49952,resCompleto
448,50176,resCompleto
449,50400,resCompleto
450,50625,resCompleto
451,50850,resCompleto
452,51076,resCompleto
453,51302,resCompleto
454,51529,resCompleto
455,51756,resCompleto
456,51984,resCompleto
457,52212,resCompleto
458,52441,resCompleto
459,52670,resCompleto
460,52900,resCompleto
461,53130,resCompleto
462,53361,resCompleto
463,53592,resCompleto
464,53824,resCompleto
465,54056,resCompleto
466,54289,resCompleto
467,54522,resCompleto
468,54756,resCompleto
469,54990,resCompleto
470,55225,resCompleto
471,55460,resCompleto
472,55696,resCompleto
473,55932,resCompleto
474,56169,resCompleto
475,56406,resCompleto
476,56644,resCompleto
477,56882,resCompleto
478,57121,resCompleto
479,57360,resCompleto
480,57600,resCompleto
481,57840,resCompleto
482,58081,resCompleto
483,58322,resCompleto
484,58564,resCompleto
485,58806,resCompleto
486,59049,resCompleto
487,59292,resCompleto
488,59536,resCompleto
489,59780,resCompleto
490,60025,resCompleto
491,60270,resCompleto
492,60516,resCompleto
493,60762,resCompleto
494,61009,resCompleto
495,61256,resCompleto
496,61504,resCompleto
497,61752,resCompleto
498,62001,resCompleto
499,62250,resCompleto
500,62500,resCompleto
