cantDens,Res,Tiempo,Tipo
0.3,30,0.614533,GrafoRandomDVarHeurEmi
0.3,31,12.1562,GrafoRandomDVarExacto
0.3,29,0.608736,GrafoRandomDVarHeurEmi
0.3,30,27.3636,GrafoRandomDVarExacto
0.3,40,0.62494,GrafoRandomDVarHeurEmi
0.3,40,9.18713,GrafoRandomDVarExacto
0.3,32,0.61579,GrafoRandomDVarHeurEmi
0.3,35,20.074,GrafoRandomDVarExacto
0.3,29,0.607968,GrafoRandomDVarHeurEmi
0.3,31,11.5615,GrafoRandomDVarExacto
0.3,33,0.873993,GrafoRandomDVarHeurEmi
0.3,34,14.1307,GrafoRandomDVarExacto
0.3,40,0.630807,GrafoRandomDVarHeurEmi
0.3,43,10.2359,GrafoRandomDVarExacto
0.3,24,0.601473,GrafoRandomDVarHeurEmi
0.3,30,11.4151,GrafoRandomDVarExacto
0.3,36,0.608876,GrafoRandomDVarHeurEmi
0.3,39,5.41752,GrafoRandomDVarExacto
0.3,33,0.618794,GrafoRandomDVarHeurEmi
0.3,34,29.4243,GrafoRandomDVarExacto
0.3,40,0.631016,GrafoRandomDVarHeurEmi
0.3,42,10.7419,GrafoRandomDVarExacto
0.3,29,0.614603,GrafoRandomDVarHeurEmi
0.3,30,7.73101,GrafoRandomDVarExacto
0.3,31,0.598819,GrafoRandomDVarHeurEmi
0.3,33,10.2979,GrafoRandomDVarExacto
0.3,34,0.610483,GrafoRandomDVarHeurEmi
0.3,35,8.85252,GrafoRandomDVarExacto
0.3,27,0.599797,GrafoRandomDVarHeurEmi
0.3,35,22.5341,GrafoRandomDVarExacto
0.4,48,0.665588,GrafoRandomDVarHeurEmi
0.4,55,91.8288,GrafoRandomDVarExacto
0.4,51,0.722158,GrafoRandomDVarHeurEmi
0.4,58,105.793,GrafoRandomDVarExacto
0.4,50,0.698413,GrafoRandomDVarHeurEmi
0.4,57,149.128,GrafoRandomDVarExacto
0.4,41,0.700019,GrafoRandomDVarHeurEmi
0.4,56,99.2707,GrafoRandomDVarExacto
0.4,51,0.677251,GrafoRandomDVarHeurEmi
0.4,57,43.7583,GrafoRandomDVarExacto
0.4,46,0.684584,GrafoRandomDVarHeurEmi
0.4,53,57.2618,GrafoRandomDVarExacto
0.4,49,0.692896,GrafoRandomDVarHeurEmi
0.4,56,136.182,GrafoRandomDVarExacto
0.4,52,0.69115,GrafoRandomDVarHeurEmi
0.4,59,68.6122,GrafoRandomDVarExacto
0.4,43,0.697365,GrafoRandomDVarHeurEmi
0.4,55,127.487,GrafoRandomDVarExacto
0.4,47,0.676134,GrafoRandomDVarHeurEmi
0.4,50,261.735,GrafoRandomDVarExacto
0.4,44,0.71294,GrafoRandomDVarHeurEmi
0.4,55,123.241,GrafoRandomDVarExacto
0.4,42,0.696737,GrafoRandomDVarHeurEmi
0.4,52,199.347,GrafoRandomDVarExacto
0.4,45,0.674806,GrafoRandomDVarHeurEmi
0.4,51,149.965,GrafoRandomDVarExacto
0.4,48,0.69087,GrafoRandomDVarHeurEmi
0.4,53,193.685,GrafoRandomDVarExacto
0.4,55,0.678298,GrafoRandomDVarHeurEmi
0.4,57,35.7154,GrafoRandomDVarExacto
0.4,39,0.663911,GrafoRandomDVarHeurEmi
0.4,51,96.4517,GrafoRandomDVarExacto
0.4,46,0.687029,GrafoRandomDVarHeurEmi
0.4,53,85.4667,GrafoRandomDVarExacto
0.4,58,0.682838,GrafoRandomDVarHeurEmi
0.4,61,48.9426,GrafoRandomDVarExacto
0.4,44,0.670826,GrafoRandomDVarHeurEmi
0.4,48,248.031,GrafoRandomDVarExacto
0.4,45,0.671385,GrafoRandomDVarHeurEmi
0.4,51,68.3504,GrafoRandomDVarExacto
0.4,48,0.694432,GrafoRandomDVarHeurEmi
0.4,57,54.7816,GrafoRandomDVarExacto
0.4,43,0.674667,GrafoRandomDVarHeurEmi
0.4,49,214.061,GrafoRandomDVarExacto
0.4,48,0.683746,GrafoRandomDVarHeurEmi
0.4,51,140.365,GrafoRandomDVarExacto
0.4,49,0.684445,GrafoRandomDVarHeurEmi
0.4,53,77.829,GrafoRandomDVarExacto
0.4,50,0.678788,GrafoRandomDVarHeurEmi
0.4,52,56.7518,GrafoRandomDVarExacto
0.5,63,0.744578,GrafoRandomDVarHeurEmi
0.5,73,409.632,GrafoRandomDVarExacto
0.5,65,0.742901,GrafoRandomDVarHeurEmi
0.5,72,433.896,GrafoRandomDVarExacto
0.5,65,0.741225,GrafoRandomDVarHeurEmi
0.5,81,261.835,GrafoRandomDVarExacto
0.5,58,0.7348,GrafoRandomDVarHeurEmi
0.5,68,687.299,GrafoRandomDVarExacto
0.5,63,0.73061,GrafoRandomDVarHeurEmi
0.5,68,443.942,GrafoRandomDVarExacto
0.5,60,0.707073,GrafoRandomDVarHeurEmi
0.5,67,150.433,GrafoRandomDVarExacto
0.5,65,0.777962,GrafoRandomDVarHeurEmi
0.5,77,474.422,GrafoRandomDVarExacto
0.5,54,0.748629,GrafoRandomDVarHeurEmi
0.5,67,387.565,GrafoRandomDVarExacto
0.5,58,0.738781,GrafoRandomDVarHeurEmi
0.5,63,231.018,GrafoRandomDVarExacto
0.5,52,0.795283,GrafoRandomDVarHeurEmi
0.5,73,1281.3,GrafoRandomDVarExacto
0.5,66,0.751143,GrafoRandomDVarHeurEmi
0.5,80,248.655,GrafoRandomDVarExacto
0.5,58,0.789836,GrafoRandomDVarHeurEmi
0.5,69,646.906,GrafoRandomDVarExacto
0.5,66,0.769861,GrafoRandomDVarHeurEmi
0.5,80,445.492,GrafoRandomDVarExacto
0.5,67,0.755682,GrafoRandomDVarHeurEmi
0.5,76,301.342,GrafoRandomDVarExacto
0.5,67,0.762038,GrafoRandomDVarHeurEmi
0.5,80,400.671,GrafoRandomDVarExacto
0.5,63,0.765251,GrafoRandomDVarHeurEmi
0.5,83,184.768,GrafoRandomDVarExacto
0.5,65,0.7656,GrafoRandomDVarHeurEmi
0.5,72,457.842,GrafoRandomDVarExacto
0.5,57,0.740597,GrafoRandomDVarHeurEmi
0.5,67,367.289,GrafoRandomDVarExacto
0.5,60,0.771327,GrafoRandomDVarHeurEmi
0.5,80,442.713,GrafoRandomDVarExacto
0.5,59,0.754565,GrafoRandomDVarHeurEmi
0.5,69,680.369,GrafoRandomDVarExacto
0.5,64,0.726139,GrafoRandomDVarHeurEmi
0.5,72,344.65,GrafoRandomDVarExacto
0.5,65,0.751771,GrafoRandomDVarHeurEmi
0.5,76,335.949,GrafoRandomDVarExacto
0.5,59,0.7524,GrafoRandomDVarHeurEmi
0.5,74,360.525,GrafoRandomDVarExacto
0.5,64,0.747232,GrafoRandomDVarHeurEmi
0.5,78,325.923,GrafoRandomDVarExacto
0.5,58,0.743879,GrafoRandomDVarHeurEmi
0.5,70,973.853,GrafoRandomDVarExacto
0.6,67,0.813162,GrafoRandomDVarHeurEmi
0.6,88,3811.55,GrafoRandomDVarExacto
0.6,66,0.835581,GrafoRandomDVarHeurEmi
0.6,95,2555.49,GrafoRandomDVarExacto
0.6,69,0.848572,GrafoRandomDVarHeurEmi
0.6,97,2851.66,GrafoRandomDVarExacto
0.6,77,0.810089,GrafoRandomDVarHeurEmi
0.6,96,1093.12,GrafoRandomDVarExacto
0.6,75,0.803594,GrafoRandomDVarHeurEmi
0.6,95,6087.16,GrafoRandomDVarExacto
0.6,77,0.797867,GrafoRandomDVarHeurEmi
0.6,91,2421.12,GrafoRandomDVarExacto
0.6,65,0.826921,GrafoRandomDVarHeurEmi
0.6,95,1895.59,GrafoRandomDVarExacto
0.6,71,0.830064,GrafoRandomDVarHeurEmi
0.6,98,1513.79,GrafoRandomDVarExacto
0.6,73,0.814978,GrafoRandomDVarHeurEmi
0.6,94,1995.4,GrafoRandomDVarExacto
0.6,73,0.791581,GrafoRandomDVarHeurEmi
0.6,94,2746.09,GrafoRandomDVarExacto
0.6,71,0.833696,GrafoRandomDVarHeurEmi
0.6,96,1498.73,GrafoRandomDVarExacto
0.6,71,0.718876,GrafoRandomDVarHeurEmi
0.6,93,3140.46,GrafoRandomDVarExacto
0.6,78,0.786413,GrafoRandomDVarHeurEmi
0.6,91,1846.28,GrafoRandomDVarExacto
0.6,73,0.762178,GrafoRandomDVarHeurEmi
0.6,96,1890.84,GrafoRandomDVarExacto
0.6,65,0.8316,GrafoRandomDVarHeurEmi
0.6,96,2652.04,GrafoRandomDVarExacto
0.6,75,0.813582,GrafoRandomDVarHeurEmi
0.6,97,2179.54,GrafoRandomDVarExacto
0.6,67,0.836838,GrafoRandomDVarHeurEmi
0.6,95,3009.02,GrafoRandomDVarExacto
0.6,77,0.801429,GrafoRandomDVarHeurEmi
0.6,95,1380.28,GrafoRandomDVarExacto
0.6,71,0.80967,GrafoRandomDVarHeurEmi
0.6,92,5417.33,GrafoRandomDVarExacto
0.6,68,0.823638,GrafoRandomDVarHeurEmi
0.6,95,1817.72,GrafoRandomDVarExacto
0.6,71,1.03917,GrafoRandomDVarHeurEmi
0.6,91,3132.19,GrafoRandomDVarExacto
0.6,75,0.806736,GrafoRandomDVarHeurEmi
0.6,95,1966.57,GrafoRandomDVarExacto
0.6,82,0.804432,GrafoRandomDVarHeurEmi
0.6,102,2544.54,GrafoRandomDVarExacto
0.6,70,0.822102,GrafoRandomDVarHeurEmi
0.6,100,2272.37,GrafoRandomDVarExacto
