cantNod,Res,Tiempo_ms,Tipo
4,0,0.007193,CompletoHeurEmi
4,0,0.000193,FuncionEneCubo
4,0,0.000678,FuncionEneCuarta
5,6,0.006754,CompletoHeurNipo
5,0,0.01303,CompletoHeurEmi
5,0,0.000527,FuncionEneCubo
5,0,0.001792,FuncionEneCuarta
5,6,0.005726,CompletoHeurNipo
5,0,0.01136,CompletoHeurEmi
5,0,0.000389,FuncionEneCubo
5,0,0.001596,FuncionEneCuarta
5,6,0.005807,CompletoHeurNipo
5,0,0.010918,CompletoHeurEmi
5,0,0.000359,FuncionEneCubo
5,0,0.001588,FuncionEneCuarta
5,6,0.005224,CompletoHeurNipo
5,0,0.010447,CompletoHeurEmi
5,0,0.000379,FuncionEneCubo
5,0,0.001557,FuncionEneCuarta
5,6,0.00508,CompletoHeurNipo
5,0,0.010421,CompletoHeurEmi
5,0,0.000363,FuncionEneCubo
5,0,0.001586,FuncionEneCuarta
5,6,0.00509,CompletoHeurNipo
5,0,0.010524,CompletoHeurEmi
5,0,0.000348,FuncionEneCubo
5,0,0.001574,FuncionEneCuarta
5,6,0.00506,CompletoHeurNipo
5,0,0.010504,CompletoHeurEmi
5,0,0.000352,FuncionEneCubo
5,0,0.001594,FuncionEneCuarta
5,6,0.005049,CompletoHeurNipo
5,0,0.010339,CompletoHeurEmi
5,0,0.000351,FuncionEneCubo
5,0,0.001627,FuncionEneCuarta
5,6,0.00506,CompletoHeurNipo
5,0,0.010317,CompletoHeurEmi
5,0,0.000366,FuncionEneCubo
5,0,0.001597,FuncionEneCuarta
5,6,0.005069,CompletoHeurNipo
5,0,0.010376,CompletoHeurEmi
5,0,0.000352,FuncionEneCubo
5,0,0.001591,FuncionEneCuarta
6,9,0.010083,CompletoHeurNipo
6,0,0.017046,CompletoHeurEmi
6,0,0.000709,FuncionEneCubo
6,0,0.003328,FuncionEneCuarta
6,9,0.008619,CompletoHeurNipo
6,0,0.015431,CompletoHeurEmi
6,0,0.000592,FuncionEneCubo
6,0,0.003152,FuncionEneCuarta
6,9,0.008138,CompletoHeurNipo
6,0,0.014957,CompletoHeurEmi
6,0,0.000591,FuncionEneCubo
6,0,0.003117,FuncionEneCuarta
6,9,0.007885,CompletoHeurNipo
6,0,0.014569,CompletoHeurEmi
6,0,0.000572,FuncionEneCubo
6,0,0.003129,FuncionEneCuarta
6,9,0.007575,CompletoHeurNipo
6,0,0.014703,CompletoHeurEmi
6,0,0.000563,FuncionEneCubo
6,0,0.009238,FuncionEneCuarta
6,9,0.007964,CompletoHeurNipo
6,0,0.01461,CompletoHeurEmi
6,0,0.000577,FuncionEneCubo
6,0,0.003114,FuncionEneCuarta
6,9,0.007772,CompletoHeurNipo
6,0,0.014621,CompletoHeurEmi
6,0,0.00058,FuncionEneCubo
6,0,0.003117,FuncionEneCuarta
6,9,0.007626,CompletoHeurNipo
6,0,0.014514,CompletoHeurEmi
6,0,0.000578,FuncionEneCubo
6,0,0.00313,FuncionEneCuarta
6,9,0.007677,CompletoHeurNipo
6,0,0.014574,CompletoHeurEmi
6,0,0.000564,FuncionEneCubo
6,0,0.003111,FuncionEneCuarta
6,9,0.007541,CompletoHeurNipo
6,0,0.014626,CompletoHeurEmi
6,0,0.000565,FuncionEneCubo
6,0,0.0031,FuncionEneCuarta
7,12,0.014552,CompletoHeurNipo
7,0,0.036809,CompletoHeurEmi
7,0,0.000986,FuncionEneCubo
7,0,0.005699,FuncionEneCuarta
7,12,0.012426,CompletoHeurNipo
7,0,0.021009,CompletoHeurEmi
7,0,0.000875,FuncionEneCubo
7,0,0.005489,FuncionEneCuarta
7,12,0.012187,CompletoHeurNipo
7,0,0.020782,CompletoHeurEmi
7,0,0.000884,FuncionEneCubo
7,0,0.005465,FuncionEneCuarta
7,12,0.011702,CompletoHeurNipo
7,0,0.020295,CompletoHeurEmi
7,0,0.000852,FuncionEneCubo
7,0,0.005471,FuncionEneCuarta
7,12,0.011505,CompletoHeurNipo
7,0,0.019979,CompletoHeurEmi
7,0,0.000848,FuncionEneCubo
7,0,0.005521,FuncionEneCuarta
7,12,0.011398,CompletoHeurNipo
7,0,0.020003,CompletoHeurEmi
7,0,0.000875,FuncionEneCubo
7,0,0.005449,FuncionEneCuarta
7,12,0.011395,CompletoHeurNipo
7,0,0.019901,CompletoHeurEmi
7,0,0.000864,FuncionEneCubo
7,0,0.005436,FuncionEneCuarta
7,12,0.011471,CompletoHeurNipo
7,0,0.019805,CompletoHeurEmi
7,0,0.000852,FuncionEneCubo
7,0,0.005501,FuncionEneCuarta
7,12,0.011307,CompletoHeurNipo
7,0,0.019908,CompletoHeurEmi
7,0,0.000869,FuncionEneCubo
7,0,0.005507,FuncionEneCuarta
7,12,0.01116,CompletoHeurNipo
7,0,0.019672,CompletoHeurEmi
7,0,0.00085,FuncionEneCubo
7,0,0.005473,FuncionEneCuarta
8,16,0.038154,CompletoHeurNipo
8,0,0.04458,CompletoHeurEmi
8,0,0.001385,FuncionEneCubo
8,0,0.009752,FuncionEneCuarta
8,16,0.0191,CompletoHeurNipo
8,0,0.041121,CompletoHeurEmi
8,0,0.001278,FuncionEneCubo
8,0,0.009205,FuncionEneCuarta
8,16,0.017669,CompletoHeurNipo
8,0,0.027676,CompletoHeurEmi
8,0,0.001274,FuncionEneCubo
8,0,0.009121,FuncionEneCuarta
8,16,0.017486,CompletoHeurNipo
8,0,0.027381,CompletoHeurEmi
8,0,0.001266,FuncionEneCubo
8,0,0.009189,FuncionEneCuarta
8,16,0.017152,CompletoHeurNipo
8,0,0.027194,CompletoHeurEmi
8,0,0.001275,FuncionEneCubo
8,0,0.009136,FuncionEneCuarta
8,16,0.016852,CompletoHeurNipo
8,0,0.026952,CompletoHeurEmi
8,0,0.001271,FuncionEneCubo
8,0,0.009095,FuncionEneCuarta
8,16,0.016527,CompletoHeurNipo
8,0,0.02692,CompletoHeurEmi
8,0,0.001239,FuncionEneCubo
8,0,0.009126,FuncionEneCuarta
8,16,0.01639,CompletoHeurNipo
8,0,0.02669,CompletoHeurEmi
8,0,0.001252,FuncionEneCubo
8,0,0.009178,FuncionEneCuarta
8,16,0.016349,CompletoHeurNipo
8,0,0.026757,CompletoHeurEmi
8,0,0.001243,FuncionEneCubo
8,0,0.009136,FuncionEneCuarta
8,16,0.016369,CompletoHeurNipo
8,0,0.026644,CompletoHeurEmi
8,0,0.001223,FuncionEneCubo
8,0,0.009113,FuncionEneCuarta
9,20,0.044946,CompletoHeurNipo
9,0,0.056339,CompletoHeurEmi
9,0,0.001817,FuncionEneCubo
9,0,0.014527,FuncionEneCuarta
9,20,0.025298,CompletoHeurNipo
9,0,0.038516,CompletoHeurEmi
9,0,0.001767,FuncionEneCubo
9,0,0.014407,FuncionEneCuarta
9,20,0.024409,CompletoHeurNipo
9,0,0.037703,CompletoHeurEmi
9,0,0.001763,FuncionEneCubo
9,0,0.014454,FuncionEneCuarta
9,20,0.023712,CompletoHeurNipo
9,0,0.036661,CompletoHeurEmi
9,0,0.001727,FuncionEneCubo
9,0,0.014394,FuncionEneCuarta
9,20,0.023452,CompletoHeurNipo
9,0,0.036563,CompletoHeurEmi
9,0,0.001751,FuncionEneCubo
9,0,0.01437,FuncionEneCuarta
9,20,0.02302,CompletoHeurNipo
9,0,0.036341,CompletoHeurEmi
9,0,0.00173,FuncionEneCubo
9,0,0.014383,FuncionEneCuarta
9,20,0.022868,CompletoHeurNipo
9,0,0.036448,CompletoHeurEmi
9,0,0.001723,FuncionEneCubo
9,0,0.014371,FuncionEneCuarta
9,20,0.022806,CompletoHeurNipo
9,0,0.036223,CompletoHeurEmi
9,0,0.00175,FuncionEneCubo
9,0,0.014298,FuncionEneCuarta
9,20,0.022864,CompletoHeurNipo
9,0,0.036019,CompletoHeurEmi
9,0,0.001715,FuncionEneCubo
9,0,0.014275,FuncionEneCuarta
9,20,0.022878,CompletoHeurNipo
9,0,0.036175,CompletoHeurEmi
9,0,0.001722,FuncionEneCubo
9,0,0.014325,FuncionEneCuarta
10,25,0.054295,CompletoHeurNipo
10,0,0.066061,CompletoHeurEmi
10,0,0.00255,FuncionEneCubo
10,0,0.02273,FuncionEneCuarta
10,25,0.03344,CompletoHeurNipo
10,0,0.049175,CompletoHeurEmi
10,0,0.002479,FuncionEneCubo
10,0,0.022624,FuncionEneCuarta
10,25,0.032501,CompletoHeurNipo
10,0,0.048276,CompletoHeurEmi
10,0,0.002429,FuncionEneCubo
10,0,0.022556,FuncionEneCuarta
10,25,0.031965,CompletoHeurNipo
10,0,0.047507,CompletoHeurEmi
10,0,0.002468,FuncionEneCubo
10,0,0.022515,FuncionEneCuarta
10,25,0.031576,CompletoHeurNipo
10,0,0.047166,CompletoHeurEmi
10,0,0.002431,FuncionEneCubo
10,0,0.022446,FuncionEneCuarta
10,25,0.031572,CompletoHeurNipo
10,0,0.046953,CompletoHeurEmi
10,0,0.002435,FuncionEneCubo
10,0,0.022532,FuncionEneCuarta
10,25,0.031492,CompletoHeurNipo
10,0,0.047251,CompletoHeurEmi
10,0,0.002408,FuncionEneCubo
10,0,0.022546,FuncionEneCuarta
10,25,0.031078,CompletoHeurNipo
10,0,0.046937,CompletoHeurEmi
10,0,0.00244,FuncionEneCubo
10,0,0.022514,FuncionEneCuarta
10,25,0.031195,CompletoHeurNipo
10,0,0.046841,CompletoHeurEmi
10,0,0.002448,FuncionEneCubo
10,0,0.022564,FuncionEneCuarta
10,25,0.031006,CompletoHeurNipo
10,0,0.046904,CompletoHeurEmi
10,0,0.002458,FuncionEneCubo
10,0,0.022526,FuncionEneCuarta
11,30,0.078535,CompletoHeurNipo
11,0,0.061784,CompletoHeurEmi
11,0,0.003288,FuncionEneCubo
11,0,0.032526,FuncionEneCuarta
11,30,0.04351,CompletoHeurNipo
11,0,0.059859,CompletoHeurEmi
11,0,0.003221,FuncionEneCubo
11,0,0.032504,FuncionEneCuarta
11,30,0.042471,CompletoHeurNipo
11,0,0.059365,CompletoHeurEmi
11,0,0.003193,FuncionEneCubo
11,0,0.032467,FuncionEneCuarta
11,30,0.041763,CompletoHeurNipo
11,0,0.090983,CompletoHeurEmi
11,0,0.003211,FuncionEneCubo
11,0,0.032444,FuncionEneCuarta
11,30,0.041276,CompletoHeurNipo
11,0,0.058394,CompletoHeurEmi
11,0,0.003188,FuncionEneCubo
11,0,0.032404,FuncionEneCuarta
11,30,0.041457,CompletoHeurNipo
11,0,0.058316,CompletoHeurEmi
11,0,0.003198,FuncionEneCubo
11,0,0.032489,FuncionEneCuarta
11,30,0.041309,CompletoHeurNipo
11,0,0.058398,CompletoHeurEmi
11,0,0.003189,FuncionEneCubo
11,0,0.032355,FuncionEneCuarta
11,30,0.041484,CompletoHeurNipo
11,0,0.0582,CompletoHeurEmi
11,0,0.003197,FuncionEneCubo
11,0,0.032528,FuncionEneCuarta
11,30,0.041167,CompletoHeurNipo
11,0,0.058258,CompletoHeurEmi
11,0,0.003184,FuncionEneCubo
11,0,0.032456,FuncionEneCuarta
11,30,0.041017,CompletoHeurNipo
11,0,0.058562,CompletoHeurEmi
11,0,0.003193,FuncionEneCubo
11,0,0.032452,FuncionEneCuarta
12,36,0.091421,CompletoHeurNipo
12,0,0.089577,CompletoHeurEmi
12,0,0.004223,FuncionEneCubo
12,0,0.045935,FuncionEneCuarta
12,36,0.055836,CompletoHeurNipo
12,0,0.073358,CompletoHeurEmi
12,0,0.004103,FuncionEneCubo
12,0,0.045718,FuncionEneCuarta
12,36,0.054994,CompletoHeurNipo
12,0,0.07285,CompletoHeurEmi
12,0,0.004109,FuncionEneCubo
12,0,0.045817,FuncionEneCuarta
12,36,0.054046,CompletoHeurNipo
12,0,0.072405,CompletoHeurEmi
12,0,0.004111,FuncionEneCubo
12,0,0.045918,FuncionEneCuarta
12,36,0.053854,CompletoHeurNipo
12,0,0.072409,CompletoHeurEmi
12,0,0.0041,FuncionEneCubo
12,0,0.045838,FuncionEneCuarta
12,36,0.053647,CompletoHeurNipo
12,0,0.072497,CompletoHeurEmi
12,0,0.00412,FuncionEneCubo
12,0,0.045694,FuncionEneCuarta
12,36,0.053444,CompletoHeurNipo
12,0,0.072768,CompletoHeurEmi
12,0,0.004118,FuncionEneCubo
12,0,0.045823,FuncionEneCuarta
12,36,0.053935,CompletoHeurNipo
12,0,0.07232,CompletoHeurEmi
12,0,0.004083,FuncionEneCubo
12,0,0.045822,FuncionEneCuarta
12,36,0.053948,CompletoHeurNipo
12,0,0.072391,CompletoHeurEmi
12,0,0.004062,FuncionEneCubo
12,0,0.045784,FuncionEneCuarta
12,36,0.053938,CompletoHeurNipo
12,0,0.072675,CompletoHeurEmi
12,0,0.004084,FuncionEneCubo
12,0,0.045781,FuncionEneCuarta
13,42,0.106617,CompletoHeurNipo
13,0,0.10333,CompletoHeurEmi
13,0,0.005229,FuncionEneCubo
13,0,0.062734,FuncionEneCuarta
