cantNod,Res,Tipo
368,242,Resultado
369,242,Resultado
370,242,Resultado
371,244,Resultado
372,244,Resultado
373,244,Resultado
374,246,Resultado
375,246,Resultado
376,246,Resultado
377,248,Resultado
378,248,Resultado
379,248,Resultado
380,250,Resultado
381,250,Resultado
382,250,Resultado
383,252,Resultado
384,252,Resultado
385,252,Resultado
386,254,Resultado
387,254,Resultado
388,254,Resultado
389,256,Resultado
390,256,Resultado
391,256,Resultado
392,258,Resultado
393,258,Resultado
394,258,Resultado
395,260,Resultado
396,260,Resultado
397,260,Resultado
398,262,Resultado
399,262,Resultado
400,262,Resultado
401,264,Resultado
402,264,Resultado
403,264,Resultado
404,266,Resultado
405,266,Resultado
406,266,Resultado
407,268,Resultado
408,268,Resultado
409,268,Resultado
410,270,Resultado
411,270,Resultado
412,270,Resultado
413,272,Resultado
414,272,Resultado
415,272,Resultado
416,274,Resultado
417,274,Resultado
418,274,Resultado
419,276,Resultado
420,276,Resultado
421,276,Resultado
422,278,Resultado
423,278,Resultado
424,278,Resultado
425,280,Resultado
426,280,Resultado
427,280,Resultado
428,282,Resultado
429,282,Resultado
430,282,Resultado
431,284,Resultado
432,284,Resultado
433,284,Resultado
434,286,Resultado
435,286,Resultado
436,286,Resultado
437,288,Resultado
438,288,Resultado
439,288,Resultado
440,290,Resultado
441,290,Resultado
442,290,Resultado
443,292,Resultado
444,292,Resultado
445,292,Resultado
446,294,Resultado
447,294,Resultado
448,294,Resultado
449,296,Resultado
450,296,Resultado
451,296,Resultado
452,298,Resultado
453,298,Resultado
454,298,Resultado
455,300,Resultado
456,300,Resultado
457,300,Resultado
458,302,Resultado
459,302,Resultado
460,302,Resultado
461,304,Resultado
462,304,Resultado
463,304,Resultado
464,306,Resultado
465,306,Resultado
466,306,Resultado
467,308,Resultado
468,308,Resultado
469,308,Resultado
470,310,Resultado
471,310,Resultado
472,310,Resultado
473,312,Resultado
474,312,Resultado
475,312,Resultado
476,314,Resultado
477,314,Resultado
478,314,Resultado
479,316,Resultado
480,316,Resultado
481,316,Resultado
482,318,Resultado
483,318,Resultado
484,318,Resultado
485,320,Resultado
486,320,Resultado
487,320,Resultado
488,322,Resultado
489,322,Resultado
490,322,Resultado
491,324,Resultado
492,324,Resultado
493,324,Resultado
494,326,Resultado
495,326,Resultado
496,326,Resultado
497,328,Resultado
498,328,Resultado
499,328,Resultado
500,330,Resultado
