cantNod,Res,Tiempo_ms,Tipo
252,6095,342.491,GrafoRandomDMediaHeurEmi
252,6901,543.309,GrafoRandomDMediaHeurNipo
252,6136,340.439,GrafoRandomDMediaHeurEmi
252,6866,542.67,GrafoRandomDMediaHeurNipo
252,6126,338.043,GrafoRandomDMediaHeurEmi
252,6903,524.908,GrafoRandomDMediaHeurNipo
252,6165,336.005,GrafoRandomDMediaHeurEmi
252,6894,529.259,GrafoRandomDMediaHeurNipo
252,6136,336.893,GrafoRandomDMediaHeurEmi
252,6851,543.391,GrafoRandomDMediaHeurNipo
252,6099,339.899,GrafoRandomDMediaHeurEmi
252,6896,541.079,GrafoRandomDMediaHeurNipo
252,6156,338.469,GrafoRandomDMediaHeurEmi
252,6965,557.669,GrafoRandomDMediaHeurNipo
252,6162,339.646,GrafoRandomDMediaHeurEmi
252,6842,542.185,GrafoRandomDMediaHeurNipo
252,6059,336.859,GrafoRandomDMediaHeurEmi
252,6865,541.797,GrafoRandomDMediaHeurNipo
252,6056,337.781,GrafoRandomDMediaHeurEmi
252,6894,487.684,GrafoRandomDMediaHeurNipo
252,6154,287.084,GrafoRandomDMediaHeurEmi
252,6847,542.663,GrafoRandomDMediaHeurNipo
252,6089,337.215,GrafoRandomDMediaHeurEmi
252,6851,553.985,GrafoRandomDMediaHeurNipo
252,6033,336.79,GrafoRandomDMediaHeurEmi
252,6840,540.251,GrafoRandomDMediaHeurNipo
252,6097,337.235,GrafoRandomDMediaHeurEmi
252,6808,553.751,GrafoRandomDMediaHeurNipo
252,5985,343.324,GrafoRandomDMediaHeurEmi
252,6863,529.803,GrafoRandomDMediaHeurNipo
252,6119,336.222,GrafoRandomDMediaHeurEmi
252,6930,545.492,GrafoRandomDMediaHeurNipo
252,6152,337.887,GrafoRandomDMediaHeurEmi
252,6869,538.026,GrafoRandomDMediaHeurNipo
252,6067,337.586,GrafoRandomDMediaHeurEmi
252,6905,545.6,GrafoRandomDMediaHeurNipo
252,6124,338.876,GrafoRandomDMediaHeurEmi
252,6964,561.019,GrafoRandomDMediaHeurNipo
252,6149,338.696,GrafoRandomDMediaHeurEmi
252,6890,564.966,GrafoRandomDMediaHeurNipo
252,6094,339.004,GrafoRandomDMediaHeurEmi
252,6863,554.343,GrafoRandomDMediaHeurNipo
252,6033,338.115,GrafoRandomDMediaHeurEmi
253,6989,561.591,GrafoRandomDMediaHeurNipo
253,6208,341.704,GrafoRandomDMediaHeurEmi
253,6906,544.152,GrafoRandomDMediaHeurNipo
253,6148,341.648,GrafoRandomDMediaHeurEmi
253,6847,545.562,GrafoRandomDMediaHeurNipo
253,6082,341.349,GrafoRandomDMediaHeurEmi
253,6969,555.35,GrafoRandomDMediaHeurNipo
253,6138,347.678,GrafoRandomDMediaHeurEmi
253,6936,555.735,GrafoRandomDMediaHeurNipo
253,6140,342.444,GrafoRandomDMediaHeurEmi
253,6920,558.197,GrafoRandomDMediaHeurNipo
253,6116,342.683,GrafoRandomDMediaHeurEmi
253,6989,559.515,GrafoRandomDMediaHeurNipo
253,6216,346.744,GrafoRandomDMediaHeurEmi
253,6980,560.693,GrafoRandomDMediaHeurNipo
253,6177,342.451,GrafoRandomDMediaHeurEmi
253,6964,565.926,GrafoRandomDMediaHeurNipo
253,6164,342.371,GrafoRandomDMediaHeurEmi
253,6950,544.7,GrafoRandomDMediaHeurNipo
253,6186,341.881,GrafoRandomDMediaHeurEmi
253,6883,519.092,GrafoRandomDMediaHeurNipo
253,6182,339.591,GrafoRandomDMediaHeurEmi
253,6955,561.058,GrafoRandomDMediaHeurNipo
253,6150,343.024,GrafoRandomDMediaHeurEmi
253,6903,542.485,GrafoRandomDMediaHeurNipo
253,6158,341.996,GrafoRandomDMediaHeurEmi
253,6972,559.539,GrafoRandomDMediaHeurNipo
253,6146,341.414,GrafoRandomDMediaHeurEmi
253,6916,549.465,GrafoRandomDMediaHeurNipo
253,6114,340.399,GrafoRandomDMediaHeurEmi
253,6961,549.922,GrafoRandomDMediaHeurNipo
253,6226,341.158,GrafoRandomDMediaHeurEmi
253,6901,546.835,GrafoRandomDMediaHeurNipo
253,6143,340.56,GrafoRandomDMediaHeurEmi
253,6977,549.26,GrafoRandomDMediaHeurNipo
253,6221,341.034,GrafoRandomDMediaHeurEmi
253,6930,543.71,GrafoRandomDMediaHeurNipo
253,6141,340.696,GrafoRandomDMediaHeurEmi
253,6884,533.252,GrafoRandomDMediaHeurNipo
253,6193,340.176,GrafoRandomDMediaHeurEmi
253,6964,560.293,GrafoRandomDMediaHeurNipo
253,6152,341.414,GrafoRandomDMediaHeurEmi
253,6949,545.708,GrafoRandomDMediaHeurNipo
253,6165,340.738,GrafoRandomDMediaHeurEmi
253,6944,548.541,GrafoRandomDMediaHeurNipo
253,6174,341.112,GrafoRandomDMediaHeurEmi
253,6889,548.698,GrafoRandomDMediaHeurNipo
253,6110,340.54,GrafoRandomDMediaHeurEmi
253,6919,566.852,GrafoRandomDMediaHeurNipo
253,6094,341.372,GrafoRandomDMediaHeurEmi
253,6856,532.812,GrafoRandomDMediaHeurNipo
253,6133,338.999,GrafoRandomDMediaHeurEmi
253,6899,558.762,GrafoRandomDMediaHeurNipo
253,6085,341.081,GrafoRandomDMediaHeurEmi
253,6943,547.124,GrafoRandomDMediaHeurNipo
253,6204,342.092,GrafoRandomDMediaHeurEmi
253,6922,546.886,GrafoRandomDMediaHeurNipo
253,6181,340.018,GrafoRandomDMediaHeurEmi
253,7018,565.355,GrafoRandomDMediaHeurNipo
253,6201,341.845,GrafoRandomDMediaHeurEmi
253,6947,544.482,GrafoRandomDMediaHeurNipo
253,6212,343.4,GrafoRandomDMediaHeurEmi
253,6865,519.42,GrafoRandomDMediaHeurNipo
253,6187,340.253,GrafoRandomDMediaHeurEmi
253,6879,543.957,GrafoRandomDMediaHeurNipo
253,6126,339.479,GrafoRandomDMediaHeurEmi
253,6970,559.378,GrafoRandomDMediaHeurNipo
253,6160,342.593,GrafoRandomDMediaHeurEmi
