cantNod,iter,res
245, 1, -3.90524
245, 21, -1.09061
245, 41, -0.609809
245, 61, 0.0526328
245, 81, 0.0968979
245, 101, 0.501385
245, 121, -0.0679487
245, 141, -0.0267375
245, 161, 0.353328
245, 181, 0.396066
245, 201, 0.74713
245, 221, 0.626549
245, 241, 0.327379
245, 261, 0.777657
245, 281, 0.495279
245, 301, 0.524281
245, 321, 0.695235
245, 341, 0.708971
245, 361, 0.516649
245, 381, 0.434225
245, 401, 0.501385
265, 1, -3.64303
265, 21, -0.848002
265, 41, -0.809037
265, 61, -0.966397
265, 81, 0.302978
265, 101, 0.093164
265, 121, 0.207063
265, 141, 0.727104
265, 161, 0.682143
265, 181, 0.443854
265, 201, 0.400392
265, 221, 0.782554
265, 241, 1.16022
265, 261, 0.383907
265, 281, 0.485818
265, 301, 0.343444
265, 321, 0.491811
265, 341, 0.314968
265, 361, 0.425871
265, 381, 0.963893
265, 401, 0.562249
